127.0.0.1 - - [26/Apr/2024:10:26:13 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:14 +0900] "GET /exam/scoremanager/index.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:14 +0900] "GET /exam/scoremanager/Login.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:17 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:17 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:19 +0900] "GET /exam/scoremanager/main/SubjectList.action HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:26:24 +0900] "GET /exam/scoremanager/main/StudentList.action HTTP/1.1" 200 36598
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:40:50 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:40:53 +0900] "POST /exam/scoremanager/main/LoginExecute.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:40:57 +0900] "GET /exam/scoremanager/LoginExecute.action HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:40:59 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:40:59 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:41:00 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:42:10 +0900] "GET /exam/scoremanager/main/SubjectList.action HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:44:02 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:44:06 +0900] "GET /exam/scoremanager/main/TestList.action?f1=0&f2=0&f3=bean.Subject@2d4558ea HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:46:52 +0900] "GET /exam/scoremanager/main/TestList.action?f1=0&f2=0&f3=bean.Subject@2d4558ea HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:08 +0900] "GET /exam/scoremanager/main/TestList.action?f1=0&f2=0&f3=bean.Subject@2d4558ea HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:10 +0900] "POST /exam/scoremanager/main/LoginExecute.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:18 +0900] "GET /exam/scoremanager/LoginExecute.action HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:20 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:20 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:53:21 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6894
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:54:33 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:44 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:46 +0900] "POST /exam/scoremanager/main/LoginExecute.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:54 +0900] "GET /exam/scoremanager/LoginExecute.action HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:58 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:58 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:28:59 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6390
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:30:11 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6390
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:31:32 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:32:53 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2021&f2=201&f3=DB6 HTTP/1.1" 200 6640
0:0:0:0:0:0:0:1 - - [26/Apr/2024:11:33:58 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6616
