127.0.0.1 - - [10/May/2024:11:00:48 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:49 +0900] "GET /exam/scoremanager/index.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:50 +0900] "GET /exam/scoremanager/Login.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:54 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:54 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:58 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [10/May/2024:11:00:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:03 +0900] "POST /exam/scoremanager/main/LoginExecute.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:10 +0900] "GET /exam/scoremanager/LoginExecute.action HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:13 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:13 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:14 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:01:33 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:20:19 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:20:25 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:00 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:03 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:10 +0900] "GET /exam/scoremanager/main/TestList.action?no=2125001 HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:28 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:31 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:33 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [10/May/2024:11:27:51 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [10/May/2024:11:28:17 +0900] "GET /exam/scoremanager/main/test_list.jsp HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [10/May/2024:11:28:23 +0900] "GET /exam/scoremanager/main/test_list.jsp?no=2125001 HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [10/May/2024:11:28:31 +0900] "GET /exam/scoremanager/main/test_list.jsp?no=2125001 HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [10/May/2024:11:30:12 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [10/May/2024:11:30:52 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [10/May/2024:11:34:43 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [10/May/2024:11:35:18 +0900] "GET /exam/scoremanager/main/test_list_student.jsp HTTP/1.1" 200 4143
